                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5217,                 2.8258,                 1.8997,                0.53198,                0.26667,                0.30509,                0.11038,                 2.3885,                 3.6801,                 2.9444,             0.00046442,             0.00046442,             0.00046442
                      2,                 1.3783,                 2.0613,                  1.717,                0.31483,                0.53439,                0.32663,                0.13109,                 1.8933,                 3.2929,                 2.6961,             0.00087867,             0.00087867,             0.00087867
                      3,                 1.4693,                 2.0233,                 1.7764,                 0.5122,                0.39043,                0.37221,                0.17694,                 1.7646,                 2.9148,                 2.7403,                0.00123,                0.00123,                0.00123
                      4,                 1.4165,                 1.8029,                 1.7212,                0.60336,                0.76092,                0.68076,                0.32782,                 1.5822,                 2.1283,                 2.3793,              0.0011461,              0.0011461,              0.0011461
                      5,                 1.3834,                 1.7444,                 1.7206,                0.79933,                 0.7227,                0.75709,                0.34352,                 1.7353,                 2.1407,                 2.1976,              0.0010517,              0.0010517,              0.0010517
                      6,                  1.484,                 2.1036,                 2.0101,                 0.5675,                 0.7632,                0.71388,                0.32874,                 1.7215,                 2.0137,                 2.3395,             0.00095743,             0.00095743,             0.00095743
                      7,                 1.4068,                 1.8495,                 1.9806,                0.43323,                0.59858,                0.58818,                0.26858,                 1.8583,                 2.1698,                 2.4057,             0.00086312,             0.00086312,             0.00086312
                      8,                 1.4033,                 1.6901,                 1.9253,                0.69821,                  0.769,                0.78644,                0.38968,                 1.6675,                 1.5808,                 2.3473,              0.0007688,              0.0007688,              0.0007688
                      9,                 1.3816,                  1.627,                 1.9538,                0.74879,                0.80179,                0.78857,                0.35784,                 1.7734,                 1.4995,                 2.4396,             0.00067449,             0.00067449,             0.00067449
                     10,                 1.3507,                 1.5424,                 1.9003,                0.81687,                0.76432,                0.86119,                0.42057,                 1.6858,                 1.4266,                 2.2551,             0.00058017,             0.00058017,             0.00058017
                     11,                 1.3088,                  1.442,                 1.8601,                0.79738,                0.84387,                0.86418,                0.46136,                 1.4958,                  1.359,                 2.0246,             0.00048586,             0.00048586,             0.00048586
                     12,                 1.2966,                 1.3668,                 1.8297,                0.85281,                0.80929,                0.85736,                0.46937,                 1.5212,                 1.3325,                 2.0444,             0.00039155,             0.00039155,             0.00039155
                     13,                 1.2577,                 1.2747,                  1.758,                0.81768,                0.84971,                0.86864,                0.49252,                 1.5225,                 1.1742,                 2.0842,             0.00029723,             0.00029723,             0.00029723
